"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 02 18:05:49 GMT 2021","Mon Aug 02 18:05:59 GMT 2021","10516","","ForumTestPOM","","ForumTestPOM","writeprivacytextintodocument","writeprivacytextintodocument()",""
"passed","Mon Aug 02 13:05:41 GMT 2021","Mon Aug 02 13:05:41 GMT 2021","870","","ForumTestPOM","","ForumTestPOM","List_information","List_information()",""
"passed","Mon Aug 02 12:07:28 GMT 2021","Mon Aug 02 12:07:29 GMT 2021","914","","ForumTestPOM","","ForumTestPOM","Login_function","Login_function()",""
"broken","Mon Aug 02 13:56:33 GMT 2021","Mon Aug 02 13:56:35 GMT 2021","2454","","ForumTestPOM","","ForumTestPOM","Register","Register()",""
"passed","Mon Aug 02 13:24:07 GMT 2021","Mon Aug 02 13:24:08 GMT 2021","1300","","ForumTestPOM","","ForumTestPOM","Read_from_file","Read_from_file()",""
"passed","Sat Jul 24 06:24:52 GMT 2021","Sat Jul 24 06:24:56 GMT 2021","4201","","Fórumteszt","","Fórumteszt","Login","Login()",""
"passed","Mon Aug 02 12:09:01 GMT 2021","Mon Aug 02 12:09:03 GMT 2021","2266","","ForumTestPOM","","ForumTestPOM","Logging_out","Logging_out()",""
"passed","Sat Jul 31 09:03:47 GMT 2021","Sat Jul 31 09:03:48 GMT 2021","1721","","ForumTestPOM","","ForumTestPOM","upload_pfp","upload_pfp()",""
"broken","Mon Aug 02 11:59:34 GMT 2021","Mon Aug 02 11:59:35 GMT 2021","946","","ForumTestPOM","","ForumTestPOM","Logout","Logout()",""
"passed","Mon Aug 02 12:35:22 GMT 2021","Mon Aug 02 12:35:29 GMT 2021","7292","","ForumTestPOM","","ForumTestPOM","loop_through_list","loop_through_list()",""
"passed","Tue Aug 03 03:15:03 GMT 2021","Tue Aug 03 03:15:04 GMT 2021","49","","ForumTestPOM","","ForumTestPOM","Print_text_from_main_page","Print_text_from_main_page()",""
"passed","Tue Aug 03 03:28:06 GMT 2021","Tue Aug 03 03:28:08 GMT 2021","2084","","ForumTestPOM","","ForumTestPOM","modify_profile_informations","modify_profile_informations()",""
"passed","Mon Aug 02 13:22:11 GMT 2021","Mon Aug 02 13:22:14 GMT 2021","2332","","ForumTestPOM","","ForumTestPOM","remove_information","remove_information()",""
"passed","Tue Aug 03 03:36:52 GMT 2021","Tue Aug 03 03:36:53 GMT 2021","206","","ForumTestPOM","","ForumTestPOM","read_multiple_info","read_multiple_info()",""
"passed","Tue Aug 03 03:33:06 GMT 2021","Tue Aug 03 03:33:08 GMT 2021","2593","","ForumTestPOM","","ForumTestPOM","add_profile_information","add_profile_information()",""
